"","Time","P.R.Uithof","WKZ","UMC","Heidelberglaan","Padualaan","De.Kromme.Rijn","Stadion.Galgenwaard","Vaartscherijn","CS.Centrumzijde"
"1",6,2.9047619047619,2.9047619047619,2.9047619047619,0,0,0,0.523809523809524,1.04761904761905,26
"2",7,6.90476190476191,6.90476190476191,6.90476190476191,0,0.19047619047619,7.33333333333333,7.42857142857143,19.7142857142857,108.904761904762
"3",8,13.6666666666667,13.6666666666667,13.6666666666667,0.238095238095238,6.04761904761905,19.5714285714286,10.5238095238095,31.4761904761905,149.333333333333
"4",9,11.047619047619,11.047619047619,11.047619047619,0.428571428571429,4.95238095238095,10,4.85714285714286,17,109.095238095238
"5",10,12.1428571428571,12.1428571428571,12.1428571428571,0.428571428571429,4.04761904761905,24.9047619047619,8.80952380952381,28.4285714285714,368
"6",11,11.6190476190476,11.6190476190476,11.6190476190476,0.476190476190476,4.47619047619048,7.28571428571429,10,28.3333333333333,439.666666666667
"7",12,13,13,13,1.0952380952381,3.71428571428571,13.6666666666667,21.5714285714286,65.6190476190476,898
"8",13,11.952380952381,11.952380952381,11.952380952381,0.952380952380952,2.61904761904762,5.28571428571429,17.2380952380952,47.2857142857143,708.666666666667
"9",14,13.4761904761905,13.4761904761905,13.4761904761905,0.952380952380952,3.66666666666667,17.952380952381,24.6190476190476,66.8095238095238,1013.19047619048
"10",15,13.6190476190476,13.6190476190476,13.6190476190476,1.76190476190476,2.04761904761905,7.52380952380952,22.7142857142857,98.9047619047619,1318.66666666667
"11",16,13.6666666666667,13.6666666666667,13.6666666666667,2.76190476190476,3.23809523809524,6.52380952380952,23.6190476190476,113.619047619048,1456.85714285714
"12",17,11.952380952381,11.952380952381,11.952380952381,1.0952380952381,2.61904761904762,5.76190476190476,16.5714285714286,85.9047619047619,1129.57142857143
"13",18,7.76190476190476,7.76190476190476,7.76190476190476,0.666666666666667,0.904761904761905,4.52380952380952,8.09523809523809,46.2857142857143,437.190476190476
"14",19,3.95238095238095,3.95238095238095,3.95238095238095,0.142857142857143,0.142857142857143,1.57142857142857,4.71428571428571,23.952380952381,203.857142857143
"15",20,4,4,4,0.0476190476190476,0.142857142857143,0.476190476190476,2,14.1904761904762,128.238095238095
"16",21,3,3,3,0.0476190476190476,0.0476190476190476,0.19047619047619,1.38095238095238,5.52380952380952,63
